"","handle","followers"
"1","nytimes","49 927 044"
"2","FoxNews","20 086 488 "
"3","WSJ","18 837 818 "
"4","washingtonpost","17 955 561 "
"5","ABC","16 639 871 "
"6","AP","15 173 455 "
"7","voguemagazine","13 960 158 "
"8","enews","11 687 151 "
"9","billboard","11 640 857 "
"10","Marvel","11 555 833 "
"11","WIRED","10 277 101 "
"12","TechCrunch","10 088 942 "
"13","mashable","9 511 578 "
"14","Discovery","9 035 991 "
"15","NewYorker","8 964 901 "
"16","NPR","8 699 337 "
"17","NBCNews","8 496 303 "
"18","CBSNews","8 117 151 "
"19","IGN","8 104 399 "
"20","people","7 579 600 "
"21","ELLEmagazine","6 725 713 "
"22","foodandwine","6 547 109 "
"23","EW","6 486 301 "
"24","BuzzFeed","6 375 251 "
"25","RollingStone","6 351 096 "
"26","ESPNcricinfo","6 132 524 "
"27","TwitterAPI","6 023 047 "
"28","TMZ","5 687 411 "
"29","HarvardBiz","5 677 096 "
"30","nytimesbooks","5 562 748 "
"31","NBATV","5 285 520 "
"32","VanityFair","4 818 871 "
"33","parentsmagazine","4 695 838 "
"34","WomensHealthMag","4 599 635 "
"35","politico","4 497 352 "
"36","NBAonTNT","4 434 970 "
"37","MensHealthMag","4 427 109 "
"38","USATODAY","4 360 001 "
"39","ChinaDaily","4 289 739 "
"40","InStyle","4 281 378 "
"41","thehill","4 186 578 "
"42","TravelLeisure","4 147 611 "
"43","LIFE","4 143 637 "
"44","CNNPolitics","4 132 014 "
"45","nflnetwork","4 129 602 "
"46","MarketWatch","4 022 336 "
"47","sciam","3 977 288 "
"48","Nickelodeon","3 900 571 "
"49","weatherchannel","3 877 826 "
"50","XXL","3 856 603 "
"51","latimes","3 795 576 "
"52","healthmagazine","3 603 144 "
"53","Entrepreneur","3 534 769 "
"54","Newsweek","3 438 892 "
"55","BusinessInsider","3 341 220 "
"56","THR","3 291 282 "
"57","TeenVogue","3 270 617 "
"58","bonappetit","3 242 773 "
"59","CNTraveler","3 178 639 "
"60","ScienceChannel","3 166 697 "
"61","travelchannel","3 161 288 "
"62","nprpolitics","3 038 904 "
"63","barstoolsports","2 895 551 "
"64","HBO","2 796 470 "
"65","Inc","2 775 709 "
"66","wwd","2 773 411 "
"67","HISTORY","2 769 123 "
"68","nowthisnews","2 749 049 "
"69","Univision","2 737 759 "
"70","nytimesarts","2 706 931 "
"71","BET","2 573 300 "
"72","Complex","2 519 455 "
"73","TwitterGov","2 379 625 "
"74","younghollywood","2 356 022 "
"75","FastCompany","2 343 871 "
"76","gameinformer","2 330 443 "
"77","PBS","2 276 671 "
"78","nybooks","2 275 434 "
"79","FortuneMagazine","2 261 855 "
"80","NatGeoTV","2 206 021 "
"81","nypost","2 199 592 "
"82","usweekly","2 117 446 "
"83","nytimesworld","2 112 492 "
"84","UniNoticias","2 108 417 "
"85","TheAtlantic","2 102 999 "
"86","cspan","2 092 881 "
"87","nbc","2 074 970 "
"88","FOXSports","2 065 976 "
"89","DigitalTrends","2 058 296 "
"90","WhoWhatWear","2 038 558 "
"91","VICE","2 037 490 "
"92","ArchDigest","2 035 174 "
"93","WIREDScience","2 031 554 "
"94","ESPNDeportes","1 964 847 "
"95","parenting","1 953 788 "
"96","CNNweather","1 941 423 "
"97","AnimalPlanet","1 922 377 "
"98","BW","1 852 853 "
"99","foxnewspolitics","1 848 134 "
"100","CNNBusiness","1 847 596 "
"101","NYMag","1 802 032 "
"102","Slate","1 784 866 "
"103","tmagazine","1 761 742 "
"104","MLBNetwork","1 728 623 "
"105","ESPNStatsInfo","1 724 086 "
"106","gadgetlab","1 709 542 "
"107","harpersbazaarus","1 690 109 "
"108","VOANews","1 680 512 "
"109","runnersworld","1 653 477 "
"110","WSJbusiness","1 628 219 "
"111","GoogleAI","1 598 852 "
"112","Cosmopolitan","1 595 201 "
"113","ComedyCentral","1 584 518 "
"114","HuffPostParents","1 580 120 "
"115","Playboy","1 563 934 "
"116","OANN","1 502 020 "
"117","BreitbartNews","1 470 145 "
"118","wmag","1 462 604 "
"119","Yoga_Journal","1 444 664 "
"120","HuffPostPol","1 444 433 "
"121","hgtv","1 437 323 "
"122","FOXTV","1 427 876 "
"123","TheCut","1 417 331 "
"124","PopSci","1 410 369 "
"125","nytfood","1 409 179 "
"126","FitnessMagazine","1 407 776 "
"127","BuzzFeedNews","1 379 718 "
"128","FOXSoccer","1 369 022 "
"129","dwell","1 368 709 "
"130","FiveThirtyEight","1 339 065 "
"131","thedailybeast","1 327 452 "
"132","RealSimple","1 314 450 "
"133","InteriorDesign","1 307 065 "
"134","seventeen","1 288 587 "
"135","thenation","1 274 313 "
"136","EsquireNetwork","1 261 414 "
"137","TwitterBusiness","1 259 564 "
"138","Quicktake","1 252 305 "
"139","digg","1 250 892 "
"140","BITech","1 239 409 "
"141","CBSSports","1 236 017 "
"142","VH1","1 231 454 "
"143","AMCTalkingDead","1 229 381 "
"144","BravoTV","1 214 676 "
"145","NYTHealth","1 185 993 "
"146","CBS","1 174 687 "
"147","wsbtv","1 172 140 "
"148","nytimesphoto","1 168 091 "
"149","NYTScience","1 164 881 "
"150","ABC7","1 141 288 "
"151","CARandDRIVER","1 140 421 "
"152","SLAMonline","1 136 891 "
"153","techreview","1 129 264 "
"154","Flickr","1 128 723 "
"155","chicagotribune","1 120 750 "
"156","NylonMag","1 114 518 "
"157","nytimestravel","1 100 149 "
"158","capitalweather","1 086 385 "
"159","OutdoorPhotoMag","1 082 991 "
"160","HOT97","1 081 714 "
"161","TVGuide","1 071 519 "
"162","TheCW","1 068 555 "
"163","BitcoinMagazine","1 058 453 "
"164","ajc","1 052 862 "
"165","NPRHealth","1 036 276 "
"166","TwitterMktg","1 013 755 "
"167","cartoonnetwork","1 011 790 "
"168","NBCNewsHealth","1 011 312 "
"169","SECNetwork","1 007 303 "
"170","NBCSports","1 003 856 "
"171","RoosterTeeth","1 003 024 "
"172","parisreview","996 837 "
"173","ABCPolitics","989 957 "
"174","mjfit","983 186 "
"175","adage","980 398 "
"176","OWNTV","975 961 "
"177","DEADLINE","972 144 "
"178","Salon","968 045 "
"179","markets","966 135 "
"180","NYTFashion","956 077 "
"181","CNNTravel","930 529 "
"182","propublica","919 385 "
"183","GolfChannel","919 314 "
"184","GolfDigest","915 788 "
"185","NASCARONFOX","909 152 "
"186","vmagazine","901 983 "
"187","newsmax","892 104 "
"188","DisneyChannel","890 203 "
"189","educationweek","890 151 "
"190","peoplestyle","884 000 "
"191","PEOPLEPets","882 733 "
"192","ArtinAmerica","871 644 "
"193","6abc","868 873 "
"194","DisneyBrandTVPR","864 357 "
"195","VibeMagazine","862 403 "
"196","MotherJones","860 327 "
"197","printmag","858 108 "
"198","DesignObserver","857 516 "
"199","SPACEdotcom","853 822 "
"200","KTLA","838 771 "
"201","NEJM","835 502 "
"202","adultswim","830 705 "
"203","WSJecon","826 438 "
"204","nytimesbusiness","820 354 "
"205","ForeignAffairs","804 299 "
"206","NYDailyNews","801 699 "
"207","PublishersWkly","800 323 "
"208","ABC7Chicago","793 597 "
"209","abc13houston","793 557 "
"210","disclifechannel","788 108 "
"211","BostonGlobe","787 850 "
"212","FoxBusiness","787 398 "
"213","TheStreet","784 531 "
"214","CELEBUZZ","778 960 "
"215","PsychToday","777 003 "
"216","mental_floss","774 261 "
"217","DailyCaller","773 711 "
"218","usatodaytravel","761 403 "
"219","NBCNewsTech","756 844 "
"220","MotorTrend","756 837 "
"221","e_FashionPolice","739 841 "
"222","nprmusic","739 138 "
"223","FOXDeportes","735 254 "
"224","WritersDigest","731 930 "
"225","KHOU","726 740 "
"226","JustJared","724 543 "
"227","WIREDBusiness","719 950 "
"228","HIGH_TIMES_Mag","715 299 "
"229","LAWeekly","711 048 "
"230","dallasnews","706 291 "
"231","WSJhealth","700 746 "
"232","WSJmarkets","695 226 "
"233","PolitiFact","693 466 "
"234","architectmag","691 328 "
"235","theblaze","681 169 "
"236","CNBCnow","678 788 "
"237","seattletimes","677 680 "
"238","AMC_TV","676 367 "
"239","RoadandTrack","675 145 "
"240","KING5Seattle","672 502 "
"241","KPRC2","664 153 "
"242","TLC","661 849 "
"243","FreeformTV","658 719 "
"244","SAVEURMAG","653 372 "
"245","HoustonChron","645 033 "
"246","Adweek","644 428 "
"247","CBBonFOX","642 191 "
"248","DisneyD23","641 551 "
"249","NBCPolitics","633 411 "
"250","TheRoot","628 455 "
"251","FOX5Atlanta","627 237 "
"252","HouseBeautiful","626 304 "
"253","YahooEnt","616 137 "
"254","NBCPhiladelphia","615 735 "
"255","FOX29philly","613 738 "
"256","ArchRecord","611 925 "
"257","realDailyWire","610 305 "
"258","Shape_Magazine","605 385 "
"259","BloombergTV","599 530 "
"260","BHG","593 583 "
"261","FOX4","581 602 "
"262","NBCSportsSoccer","581 555 "
"263","axios","579 971 "
"264","WaltDisneyCo","579 195 "
"265","Beats1","578 762 "
"266","ESPNFantasy","573 126 "
"267","HuffPostTech","573 007 "
"268","wfaa","572 935 "
"269","Allure_magazine","562 731 "
"270","CBSHealth","562 612 "
"271","AP_Politics","562 435 "
"272","HuffPostArts","558 971 "
"273","latimesphotos","557 315 "
"274","latimesfood","553 569 "
"275","current","547 815 "
"276","CountryLiving","543 455 "
"277","cnntech","538 981 "
"278","TWCBreaking","535 673 "
"279","nytimeswell","535 099 "
"280","njdotcom","533 066 "
"281","TwitterCareers","532 521 "
"282","DIYNetwork","531 979 "
"283","splinter_news","528 146 "
"284","NPRextra","527 312 "
"285","xdadevelopers","527 252 "
"286","brgridiron","525 960 "
"287","NBCLA","525 199 "
"288","ringer","523 654 "
"289","Suntimes","521 054 "
"290","FS1","518 056 "
"291","cnnhealth","515 729 "
"292","thrashermag","515 006 "
"293","LANow","514 751 "
"294","nytpolitics","512 676 "
"295","vulture","509 333 "
"296","elnuevoherald","508 600 "
"297","foxnewsalert","497 434 "
"298","marthaliving","496 804 "
"299","ELLEDECOR","495 848 "
"300","kcrw","495 127 "
"301","freep","493 292 "
"302","ESPNU","490 485 "
"303","AtlantaMagazine","489 869 "
"304","SFGate","488 467 "
"305","SI_Swimsuit","485 737 "
"306","NatGeoMag","484 067 "
"307","News12NJ","483 275 "
"308","BeerAdvocate","482 514 "
"309","MiamiHerald","482 406 "
"310","LAmag","475 062 "
"311","NBCDFW","475 038 "
"312","KTVU","473 372 "
"313","luxemagazine","468 172 "
"314","latimestravel","466 479 "
"315","premiolonuestro","466 227 "
"316","Power1051","464 409 "
"317","latimeshealth","462 950 "
"318","nbcchicago","461 080 "
"319","COVID19Tracking","460 842 "
"320","blackvoices","457 855 "
"321","BostonDotCom","455 102 "
"322","9NEWS","451 813 "
"323","NY1","451 585 "
"324","denverpost","449 848 "
"325","OKMagazine","449 640 "
"326","Essence","448 322 "
"327","ForbesWomen","446 359 "
"328","KIRO7Seattle","441 308 "
"329","HuffPostGreen","438 389 "
"330","komonews","437 908 "
"331","CNNent","437 357 "
"332","PreventionMag","436 995 "
"333","abc15","436 720 "
"334","USATODAYmoney","432 836 "
"335","esquire","431 989 "
"336","thebump","431 666 "
"337","HuffPostEdu","430 515 "
"338","JAMA_current","428 907 "
"339","EBONYMag","424 580 "
"340","barstooltweetss","423 712 "
"341","PhillyInquirer","418 615 "
"342","TheArtNewspaper","414 729 "
"343","EpochTimes","411 678 "
"344","WashTimes","411 481 "
"345","Local4News","411 372 "
"346","ComplexPop","408 538 "
"347","technology","405 814 "
"348","postpolitics","404 698 "
"349","MONEY","404 036 "
"350","wxyzdetroit","401 524 "
"351","AETV","401 143 "
"352","11AliveNews","398 599 "
"353","azcentral","397 914 "
"354","playbill","392 561 "
"355","redeyechicago","392 435 "
"356","StarTribune","392 038 "
"357","beINSPORTSUSA","390 549 "
"358","artinfodotcom","388 808 "
"359","qz","386 978 "
"360","McKQuarterly","386 945 "
"361","LuckyMagazine","385 124 "
"362","PCMag","382 852 "
"363","WRAL","382 428 "
"364","WWEpublishing","381 206 "
"365","Recode","376 740 "
"366","NBCSPhilly","376 065 "
"367","GuitarWorld","375 323 "
"368","NY1weather","374 773 "
"369","Z100NewYork","373 508 "
"370","foxnation","372 857 "
"371","papermagazine","371 801 "
"372","BSSportsbook","370 988 "
"373","popstarmagazine","370 074 "
"374","countrydailywwo","369 271 "
"375","FOX2News","367 679 "
"376","GOLF_com","366 931 "
"377","HuffPostWomen","365 434 "
"378","wsjnoted","364 050 "
"379","bopinion","361 261 "
"380","YahooFantasy","361 239 "
"381","RT_America","360 901 "
"382","Oregonian","360 662 "
"383","kare11","360 223 "
"384","TandCmag","358 294 "
"385","Bossip","357 939 "
"386","News12LI","355 164 "
"387","CBSTweet","354 843 "
"388","nbcbayarea","352 737 "
"389","NBCNewsBusiness","352 156 "
"390","Showtime","352 136 "
"391","outsidemagazine","351 494 "
"392","fitpregnancy","349 762 "
"393","DailyMail","347 368 "
"394","CTmagazine","346 902 "
"395","pdnonline","345 701 "
"396","successmagazine","341 078 "
"397","USATODAYhealth","340 461 "
"398","archpaper","339 814 "
"399","boston25","338 326 "
"400","1027KIISFM","337 655 "
"401","POPSUGARFashion","337 206 "
"402","baltimoresun","333 235 "
"403","FOX26Houston","332 225 "
"404","huffpostqueer","331 790 "
"405","10TV","330 719 "
"406","ReutersWorld","330 695 "
"407","Power106LA","328 953 "
"408","Revolvermag","328 814 "
"409","WGNNews","327 773 "
"410","NBCNewYork","325 728 "
"411","MLive","325 320 "
"412","FOX13News","325 144 "
"413","nbcwashington","324 055 "
"414","NewsfromScience","323 037 "
"415","C4Gogglebox","321 397 "
"416","DMagazine","321 008 "
"417","WSJTech","320 556 "
"418","statesman","318 461 "
"419","orlandosentinel","317 798 "
"420","aldotcom","317 077 "
"421","WSJpersfinance","317 020 "
"422","tvonetv","317 004 "
"423","USNewsEducation","316 696 "
"424","lifetimetv","313 821 "
"425","SPEED","313 448 "
"426","blackenterprise","312 692 "
"427","FOX10Phoenix","312 214 "
"428","Seattlemag","312 189 "
"429","WCVB","312 062 "
"430","fox5dc","311 624 "
"431","SmithsonianMag","310 864 "
"432","TennisChannel","310 314 "
"433","CBSPolitics","308 243 "
"434","SHOsports","307 224 "
"435","nbc6","306 820 "
"436","washingtonian","306 491 "
"437","detroitnews","303 976 "
"438","HoustonPress","303 052 "
"439","weeklystandard","297 455 "
"440","big_picture","297 334 "
"441","TheAdvocateMag","296 006 "
"442","TheScope","295 901 "
"443","Tennessean","295 846 "
"444","DonFranciscoTV","294 566 "
"445","NBCNewsWorld","294 431 "
"446","Surfer","294 139 "
"447","SIRIUSXM","291 901 "
"448","Newsday","290 504 "
"449","TB_Times","290 177 "
"450","dailykos","289 783 "
"451","WTOP","288 296 "
"452","lasvegasweekly","287 361 "
"453","BBCNorthAmerica","287 279 "
"454","cgtnamerica","286 725 "
"455","goodlife","286 309 "
"456","NBCSportsBet","286 255 "
"457","nytimestech","285 599 "
"458","FOXLA","285 334 "
"459","Chicago_Reader","284 891 "
"460","DenverChannel","284 666 "
"461","chronicle","284 183 "
"462","SiriusXMHits1","283 003 "
"463","revolttv","282 203 "
"464","ReutersPolitics","281 987 "
"465","BBCAMERICA","281 745 "
"466","HipHopWeekly","281 044 "
"467","TigerBeatNow","280 408 "
"468","BaseballAmerica","280 199 "
"469","dcexaminer","279 990 "
"470","oxygen","279 752 "
"471","PageSix","279 367 "
"472","247Sports","278 648 "
"473","TPM","278 424 "
"474","NBCConnecticut","277 272 "
"475","InterviewMag","277 079 "
"476","espnW","276 961 "
"477","ABC11_WTVD","276 251 "
"478","SunSentinel","275 360 "
"479","EdWeekTeacher","275 029 "
"480","SYFY","274 133 "
"481","wsoctv","272 953 "
"482","wbaltv11","272 837 "
"483","HuffPostBooks","272 583 "
"484","VH1Music","272 175 "
"485","WTNH","271 023 "
"486","UpsideStories","270 337 "
"487","indystar","270 288 "
"488","PFF_Fantasy","270 263 "
"489","HLNTV","269 325 "
"490","reviewjournal","269 027 "
"491","mashbusiness","267 728 "
"492","WSMV","267 402 "
"493","asis","264 894 "
"494","ChicagoMag","264 883 "
"495","reason","262 387 "
